head_news,golden_true,prediction
"Shares in Persimmon <PSN.L>, Britain's second-largest housebuilder, dropped more than 7% after it warned on 2023 profit margins as UK house prices deteriorated and its sales rate slipped.",negative,negative
"Shares of Tesla, the world's most valuable automaker, fell more than 9% since he disclosed his more than 9% stake in Twitter last Monday. On Thursday, Tesla's stock fell 3.7%.        ",negative,negative
    A source familiar with the matter said on Friday that Mobileye may lower its IPO valuation estimate due to adverse market conditions.   ,negative,negative
"The Philadelphia semiconductor index <.SOX> is dropping 2.8%, down for a second straight session. Following a hefty rebound since the start of July, the SOX remains off 24% in 2022, with many investors speculating the chip industry is heading for its first revenue downturn since 2019.",negative,negative
- U.S. President Joe Biden has been accused of unfairly penalising political rival Elon Musk by dropping an $885 million contract awarded to his satellite company Starlink.  ,negative,negative
The sector has been crushed by disappointing earnings from retailers including Target <TGT.N> and Walmart <WMT.N> and even with Wednesday's gain was last 7.8% below its last close before Target's May 18 report triggered the selloff. [nL3N2XA1XU],negative,negative
"What kicked stress into overdrive was the arrest last month of property tycoon Truong My Lan, chairwoman of Ho Chi Minh City-based developer Van Thinh Phat Holdings Group, over suspected bond-market fraud.",negative,negative
The resulting fire sale in stocks caused large losses at banks including Credit Suisse Group AG <CSGN.S> and Nomura Holdings Inc <8604.T>.,negative,negative
"In Asia, Japan's Nikkei <.N225> dropped 0.7%, while South Korea's Kospi <.KS11> slipped 0.2%, weighed partly by a decline in Samsung shares.",negative,negative
"The report offset some of the gloom that's surrounded earnings from tech and growth companies this week, including a weaker-than-expected holiday-quarter sales forecast from Amazon.com <AMZN.O> late Thursday and a more than 9% drop in its shares on Friday.",negative,negative
"""With a gap of $8 billion between liabilities and assets, when FTX is insolvent, it will trigger a domino effect, which will lead to a series of investors related to FTX going bankrupt or being forced to sell assets.""",negative,negative
"The S&P 500 slumped about 2.4% in the prior three sessions and recently joined the Dow, Nasdaq and Russell 2000 <.RUT> in forming a ""death cross"" technical pattern, when a short-term moving average crosses below a longer-term moving average, which some investors believe signals more near-term weakness is likely. [nL2N2VI1WC]",negative,negative
"Last month, China's market regulator imposed the latest fines on Tencent and Alibaba <BABA.N> as well as a range of other firms for failing to comply with anti-monopoly rules on the disclosure of transactions. [nL4N2YV0WT]",negative,negative
"The downbeat outlook and a worrying earnings report from Nordic Semiconductor <NOD.OL> sparked a sell-off in the chip sector, with ASM International <ASMI.AS>, ASML Holding <ASML.AS> and Aixtron <AIXGn.DE> falling between 0.7% and 1%.",negative,negative
"It also coincided with the global PC industry coming off the pandemic-fuelled sales boom and the war in Ukraine, prompting several companies from chipmakers to electronics manufacturers such as Intel <INTC.O> and Samsung <005930.KS> to warn of a sharp slowdown in demand. [nL4N2Z947R][nL1N2Z83N6]",negative,negative
"JinkoSolar <JKS.N>, a major solar power equipment manufacturer, said its Sichuan manufacturing facilities have been halted as a result of power shortages, adding that it was ""uncertain"" how long the measures would last. [nL1N2ZY0BJ]  ",negative,negative
"Both the LME and ShFE, where stocks are even more depleted, are struggling to price simultaneously a growing global nickel surplus and a tight Class I supply chain. ",negative,negative
The 10-year JGB yield <JP10YTN=JBTC> fell 0.5 basis point to 0.200% and the 20-year JGB yield <JP20YTN=JBTC> fell 1.5 basis points to 0.820%.,negative,positive
"On Monday, the NSE Nifty 50 index <.NSEI> closed 0.11% lower at 18,329.15. The S&P BSE Sensex <.BSESN> slipped 0.28% to 61,624.15.",negative,negative
"Top U.S. banks, including JPMorgan & Chase <JPM.N>, Citigroup <C.N>, Goldman Sachs <GS.N>, and Morgan Stanley <MS.N>, shed 3-5% in pre-market trade. That was a heavier fall than the broader market, where futures tracking the S&P <EScv1> were down 2.6%. [nL4N2UZ3FZ]",negative,negative
"Both companies shifted spending from the business on Wednesday, dragging Ford into a net loss with a non-cash pretax impairment of $2.7 billion.",negative,negative
"New Relic generated revenue of $786 million in fiscal year 2022, up 18% year-over-year, while its loss widened to $229 million from $171 million. It shares have lost half of its value since November 2021. ",negative,negative
"Consumer discretionary <.SPLRCD> is leading sector losses, falling more than 2%, followed by consumer staples <.SPLRCS> and communication services <.SPLRCL>, which are each dropping around 1.0%.",negative,negative
"Shares of smaller electric-vehicle makers including Rivian Automotive Inc <RIVN.O>, Fisker Inc <FSR.N> and Lucid Group <LCID.O> were also down between 2.7% and 6.8% in early trading.",negative,negative
"The other six ""FANGMAN"" stocks Meta Platforms <META.O>, Nvidia <NVDA.O>, Netflix <NFLX.O>, Amazon.com <AMZN.O>, Microsoft <MSFT.O> and Alphabet <GOOGL.O> are down between 24% to 64% so far this year.",negative,negative
"Investors wiped almost 25% off Target <TGT.N> shares on Wednesday after its profit halved as it had to discount bigger items, and Walmart <WMT.N> has dropped more than 17% since it reported weak results early on Tuesday.",negative,negative
"    The Dow Jones Industrial Average <.DJI> rose 0.27% by 1:30 p.m. ET (1730 GMT). The S&P 500 <.SPX> lost 0.44% and the Nasdaq Composite <.IXIC> dropped 1.69%, dragged by disappointing earnings and warnings from Microsoft and Alphabet.   ",negative,positive
